1796,0199849
1797,0088939
1798,0087433
1799,0089886
1800,0088748
1801,0089155
1802,0087150
1803,0091867
1804,0089066
1805,0090305
1806,0088763
1807,0088846
1808,0088885
1809,0088993
1810,0090329
1811,0089822
1812,0089371
1813,0089960
1814,0089206
1815,0089052
1816,0089108
1817,0090264
1818,0089869
1819,0088930
1820,0090103
1821,0089885
1822,0089126
1823,0090056
1824,0089853
1825,0089470
1826,0089276
1827,0091578
1828,0089686
1829,0089153
1830,0089308
1831,0092048
1832,0089927
1833,0208502
1834,0137226
1835,0091877
1836,0091949
1837,0089297
1838,0091064
1839,0092005
1840,0091203
1841,0090848
1842,0090667
1843,0090793
1844,0090837
1845,0091757
1846,0090660
1847,0090967
1848,0090555
1849,0091777
1850,0091042
1851,0091721
1852,0092106
1853,0091369
1854,0091472
1855,0090952
1856,0090917
1857,0092086
1858,0090655
1859,0091605
1860,0090805
1861,0090605
1862,0091738
1863,0091225
1864,0090556
1865,0091341
1866,0091790
1867,0091499
1868,0090633
1869,0092067
1870,0091794
1871,0091993
1872,0090756
1873,0090315
1874,0091059
1875,0097050
1876,0091495
1877,0091326
1878,0091530
1879,0091474
1880,0092099
1881,0091419
1882,0091167
1883,0091763
1884,0090728
1885,0091306
1886,0091149
1887,0092007
1888,0091541
1889,0089118
1890,0090685
1891,0090887
1892,0091869
1893,0090830
1894,0179955
1895,0091093
1896,0091083
1897,0094074
1898,0092890
1899,0092563
1900,0093177
1901,0093777
1902,0093389
1903,0093409
1904,0313254
1905,0092581
1906,0093748
1907,0090570
1908,0092752
1909,0093146
1910,0092796
1911,0092693
1912,0093565
1913,0092965
1914,0094089
1915,0093818
1916,0093617
1917,0093822
1918,0092644
1919,0093239
1920,0092603
1921,0093191
1922,0093105
1923,0093220
1924,0093940
1925,0092513
1926,0092593
1927,0094286
1928,0093300
1929,0092925
1930,0092991
1931,0098675
1932,0094315
1933,0092605
1934,0093010
1935,0093075
1936,0093415
1937,0094332
1938,0093693
1939,0093773
1940,0090738
1941,0093144
1942,0093011
1943,0092699
1944,0093223
1945,0093412
1946,0092610
1947,0093615
1948,0093779
1949,0093629
1950,0093058
1951,0094012
1952,0095801
1953,0093225
1954,0094336
1955,0093437
1956,0093512
1957,0093870
1958,0095305
1959,0093756
1960,0093690
1961,0092972
1962,0094137
1963,0093209
1964,0093936
1965,0095675
1966,0094721
1967,0095889
1968,0094964
1969,0094862
1970,0094625
1971,0096465
1972,0094947
1973,0189071
1974,0095690
1975,0096256
1976,0096487
1977,0096001
1978,0094737
1979,0096163
1980,0093840
1981,0096061
1982,0095270
1983,0096446
1984,0095489
1985,0094612
1986,0096176
1987,0095742
1988,0095327
1989,0094921
1990,0096324
1991,0094631
1992,0095593
1993,0096463
1994,0094608
1995,0095705
1996,0094668
1997,0095497
1998,0095687
1999,0095444
2000,0092675
2001,0095583
2002,0330312
2003,0093171
2004,0095037
2005,0097493
2006,0096764
2007,0095145
2008,0095294
2009,0096320
2010,0095882
2011,0096523
2012,0095953
2013,0094898
2014,0095925
2015,0096461
2016,0094919
2017,0097257
2018,0095484
2019,0095765
2020,0094663
2021,0096037
2022,0094715
2023,0094739
2024,0095631
2025,0095159
2026,0095776
2027,0096438
2028,0094824
2029,0096289
2030,0095016
2031,0096283
2032,0094606
2033,0097162
2034,0097728
2035,0096928
2036,0098309
2037,0098627
2038,0096754
2039,0098382
2040,0098519
2041,0098554
2042,0097815
2043,0097499
2044,0097165
2045,0097958
2046,0094849
2047,0097937
2048,0098258
2049,0096895
2050,0097240
2051,0096787
2052,0097366
2053,0098453
2054,0098032
2055,0097428
2056,0096874
2057,0097523
2058,0098327
2059,0097731
2060,0098105
2061,0097108
2062,0097981
2063,0097239
2064,0097351
2065,0097216
2066,0098300
2067,0096734
2068,0098189
2069,0097336
2070,0098319
2071,0084548
2072,0098546
2073,0103959
2074,0097123
2075,0096969
2076,0098384
2077,0097858
2078,0098536
2079,0097182
2080,0097444
2081,0097733
2082,0096869
2083,0097441
2084,0098724
2085,0097757
2086,0097737
2087,0097576
2088,0097814
2089,0097742
2090,0097423
2091,0100934
2092,0098206
2093,0098635
2094,0097940
2095,0097235
2096,0097388
2097,0097790
2098,0097883
2099,0100530
2100,0099487
2101,0100234
2102,0100046
2103,0099864
2104,0100935
2105,0099818
2106,0099423
2107,0099088
2108,0099165
2109,0100911
2110,0100758
2111,0099819
2112,0100404
2113,0100519
2114,0099277
2115,0100477
2116,0100557
2117,0099776
2118,0099653
2119,0100024
2120,0099685
2121,0099005
2122,0100802
2123,0100054
2124,0100263
2125,0100691
2126,0099040
2127,0100395
2128,0099731
2129,0100924
2130,0099348
2131,0099768
2132,0099329
2133,0100142
2134,0100469
2135,0100332
2136,0100405
2137,0099733
2138,0100150
2139,0099582
2140,0099365
2141,0099810
2142,0100502
2143,0196378
2144,0099871
2145,0099012
2146,0099674
2147,0142233
2148,0142245
2149,0098532
2150,0100990
2151,0098147
2152,0098897
2153,0099892
2154,0099253
2155,0105643
2156,0099785
2157,0099817
2158,0100140
2159,0100157
2160,0100151
2161,0100403
2162,0359610
2163,0100928
2164,0102993
2165,0100944
2166,0097106
2167,0100814
2168,0099938
2169,0099321
2170,0101318
2171,0103074
2172,0101898
2173,0104057
2174,0101272
2175,0102536
2176,0101745
2177,0102803
2178,0104981
2179,0102943
2180,0102609
2181,0102817
2182,0101507
2183,0101640
2184,0101991
2185,0101891
2186,0102603
2187,0102951
2188,0103112
2189,0099851
2190,0101701
2191,0102070
2192,0102587
2193,0102250
2194,0103030
2195,0101329
2196,0104922
2197,0102510
2198,0101627
2199,0102798
2200,0101757
2201,0101414
2202,0102103
2203,0102303
2204,0103060
2205,0101917
2206,0102797
2207,0105121
2208,0102138
2209,0098063
2210,0102494
2211,0102426
2212,0101587
2213,0102436
2214,0102059
2215,0101889
2216,0102975
2217,0101597
2218,0101452
2219,0101921
2220,0103247
2221,0100009
2222,0103241
2223,0102829
2224,0103064
2225,0102685
2226,0101410
2227,0102492
2228,0102573
2229,0107875
2230,0100491
2231,0099422
2232,0101698
2233,0102057
2234,0102266
2235,0101829
2236,0102926
2237,0101765
2238,0102898
2239,0102370
2240,0101465
2241,0102313
2242,1125254
2243,0101540
2244,0101912
2245,0102522
2246,0104036
2247,0105414
2248,0104940
2249,0105236
2250,0105793
2251,0105151
2252,0104348
2253,0103639
2254,0104815
2255,0104670
2256,1517470
2257,0105107
2258,0103772
2259,0104409
2260,0104321
2261,0103919
2262,0103644
2263,0100963
2264,0104697
2265,0101811
2266,0105682
2267,0103893
2268,0104868
2269,0105477
2270,0104070
2271,0107756
2272,0104990
2273,0106308
2274,0105435
2275,0103874
2276,0104237
2277,0105459
2278,0105616
2279,0105859
2280,0104298
2281,0105417
2282,0104412
2283,0105665
2284,0105316
2285,0103767
2286,0105577
2287,0105629
2288,0104797
2289,0104431
2290,0103939
2291,0103850
2292,0104040
2293,0104692
2294,0104652
2295,0105323
2296,0104694
2297,0103859
2298,0142237
2299,0101628
2300,0104695
2301,0104187
2302,0105130
2303,0104454
2304,0103776
2305,0104254
2306,0104257
2307,0105851
2308,0103812
2309,0104952
2310,0103994
2311,0103873
2312,0104466
2313,0105481
2314,0105265
2315,0104684
2316,0104452
2317,0105695
2318,0104691
2319,0105415
2320,0104779
2321,0107091
2322,0107212
2323,0108265
2324,0106834
2325,0107745
2326,0108442
2327,0108255
2328,0106417
2329,0106400
2330,0106677
2331,0108451
2332,0107943
2333,0106453
2334,0108432
2335,0104246
2336,0106689
2337,0108122
2338,0107151
2339,0108550
2340,0107808
2341,0106387
2342,0107144
2343,0106332
2344,0107206
2345,0107840
2346,0106303
2347,0108147
2348,0106408
2349,0115819
2350,0311648
2351,0108358
2352,0107977
2353,0107214
2354,0108071
2355,0107131
2356,0108388
2357,0108052
2358,0107290
2359,0107065
2360,0107048
2361,0108000
2362,0107978
2363,0107007
2364,0108394
2365,0107529
2366,0170817
2367,0107211
2368,0106449
2369,0107315
2370,0107501
2371,0107566
2372,0107492
2373,0106598
2374,0106770
2375,0107426
2376,0106673
2377,0107688
2378,0106873
2379,0106977
2380,0107507
2381,0107822
2382,0106452
2383,0107156
2384,0106697
2385,0106582
2386,0107969
2387,0112389
2388,0106611
2389,0108160
2390,0106469
2391,0106918
2392,0142247
2393,0107798
2394,0108399
2395,0107096
2396,0107653
2397,0108188
2398,0106220
2399,0107614
2400,0106471
2401,0108624
2402,0108065
2403,0105619
2404,0106364
2405,0107843
2406,0108037
2407,0107099
2408,0108310
2409,0107120
2410,0106341
2411,0107282
2412,0106226
2413,0107207
2414,0108551
2415,0108162
2416,0107818
2417,0111205
2418,0111280
2419,0109770
2420,0109813
2421,0111797
2422,0110054
2423,0109198
2424,0111333
2425,0110622
2426,0110524
2427,0109254
2428,0109440
2429,0110857
2430,0113409
2431,0110322
2432,0109093
2433,0111001
2434,0111549
2435,0109686
2436,0111470
2437,0111438
2438,0110308
2439,0111686
2440,0109520
2441,0111512
2442,0109579
2443,0110236
2444,0111201
2445,0111033
2446,0110167
2447,0109279
2448,0110008
2449,0109275
2450,0110413
2451,0111070
2452,0109791
2453,0109830
2454,0109040
2455,0110169
2456,0109849
2457,0110763
2458,0110950
2459,0108941
2460,0111255
2461,0110722
2462,0110367
2463,0109831
2464,0111112
2465,3289712
2466,0109644
2467,0110366
2468,0109144
2469,0111301
2470,0124829
2471,0110091
2472,0107952
2473,0109913
2474,0110889
2475,0110678
2476,0111143
2477,0111257
2478,0110521
2479,0110912
2480,0110357
2481,0109446
2482,0109445
2483,0109707
2484,0109306
2485,0110171
2486,0111507
2487,0109506
2488,0110074
2489,0111282
2490,0109484
2491,0111800
2492,0110297
2493,0110958
2494,0110099
2495,0109699
2496,0109045
2497,0109068
2498,0109900
2499,0111161
2500,0110475
2501,0109456
2502,0111503
2503,0110632
2504,0109127
2505,0110598
2506,0109424
2507,0109277
2508,0110148
2509,0110005
2510,0109676
2511,0109327
2512,0109504
2513,0110932
2514,0111127
2515,0111751
2516,5818818
2517,0114214
2518,0112281
2519,0112384
2520,0112604
2521,0113568
2522,0112462
2523,0114924
2524,0113670
2525,0112697
2526,0114814
2527,0112913
2528,0113957
2529,0113198
2530,0109370
2531,0113416
2532,0112642
2533,0114069
2534,0112130
2535,0112864
2536,0112950
2537,0114395
2538,0112508
2539,0112715
2540,0114436
2541,0114508
2542,0112288
2543,0142243
2544,0113972
2545,0114671
2546,0112922
2547,0112701
2548,0112571
2549,0112453
2550,0112722
2551,0113326
2552,0112896
2553,0112471
2554,0113243
2555,0113749
2556,0113820
2557,0112682
2558,0114011
2559,0112679
2560,0114614
2561,0114148
2562,0112435
2563,0113492
2564,0113221
2565,0113540
2566,0113737
2567,0112818
2568,0114057
2569,0114095
2570,0114694
2571,0113347
2572,0113824
2573,0112870
2574,0112401
2575,0114558
2576,0113725
2577,0113188
2578,0114108
2579,0114709
2580,0112513
2581,0114898
2582,0113321
2583,0112651
2584,0112573
2585,0114319
2586,0114916
2587,0113855
2588,0114852
2589,0112819
2590,0113071
2591,0114702
2592,0113083
2593,0112431
2594,0113118
2595,0113101
2596,0113247
