0,0392728
1,0000003
2,0000014
3,0132134
4,0000131
5,0000091
6,0223341
7,0000012
8,0000211
9,0135696
10,0224240
11,0000230
12,0000246
13,0000300
14,0377995
15,0000306
16,0000313
17,0227438
18,0230746
19,0257654
20,0000272
21,0291476
22,0135453
23,0000304
24,0000359
25,0258104
26,0131934
27,0000417
28,0367177
29,0229024
30,0000413
31,0223755
32,0000455
33,0000439
34,0135180
35,0189498
36,0135631
37,0000499
38,0135179
39,0215664
40,0135690
41,0215575
42,1260944
43,0000574
44,0449172
45,0216016
46,0135122
47,0000567
48,0000554
49,0215737
50,0215817
51,1802750
52,0277596
53,0001009
54,0127948
55,0486978
56,0232821
57,1515725
58,0002101
59,0002281
60,0277865
61,0003512
62,0003424
63,0003973
64,0004972
65,0007507
66,0279914
67,0007361
68,0006745
69,0006864
70,0008519
71,0008489
72,0008443
73,0008652
74,0008499
75,0009652
76,0008844
77,0009682
78,0010281
79,0009968
80,0010879
81,0011588
82,0010323
83,0011870
84,0011979
85,0012532
86,0012349
87,0012364
88,0013428
89,0013257
90,0013427
91,0013140
92,0013086
93,0013496
94,0013367
95,0013442
96,0012543
97,0014611
98,0014469
99,0013626
100,0014429
101,0014341
102,0015175
103,0015324
104,1764657
105,0015400
106,0015163
107,0015881
108,0013845
109,0015174
110,0015498
111,0014945
112,0015116
113,0016220
114,0015864
115,0016039
116,0015863
117,0016332
118,0015648
119,0015624
120,0015361
121,0015841
122,0017410
123,0016884
124,0016895
125,0017925
126,0017449
127,0015532
128,0018455
129,0018199
130,0018183
131,0018192
132,0018033
133,0017136
134,0018528
135,0017825
136,0018037
137,0018578
138,0018051
139,0019412
140,0019421
141,0019290
142,0018742
143,0018839
144,0018684
145,0019258
146,0019571
147,0019130
148,0018806
149,0018773
150,0019304
151,0018937
152,0019254
153,0019760
154,0020530
155,0020286
156,0019729
157,0021015
158,0020572
159,0018737
160,0019777
161,0019702
162,0021577
163,0020629
164,0021156
165,0020640
166,0021165
167,0020697
168,0020668
169,0020670
170,0021148
171,0021040
172,0020641
173,0022458
174,0022100
175,0021884
176,0023196
177,0023395
178,0021985
179,0021735
180,0022251
181,0022158
182,0021746
183,0022286
184,0022208
185,0022000
186,0021814
187,0020642
188,0022183
189,0022599
190,0022395
191,0021815
192,0022074
193,0022054
194,0021749
195,0021739
196,0021079
197,0023213
198,0022614
199,0023590
200,0023427
201,0023385
202,0023649
203,0023293
204,0022958
205,0023935
206,0022913
207,0023027
208,0022940
209,0023458
210,0022718
211,0023634
212,0023238
213,0023694
214,0024188
215,0023042
216,0023158
217,0023582
218,0023285
219,0022694
220,0024184
221,0023753
222,0024028
223,0024264
224,0023969
225,0024473
226,0023940
227,0023775
228,0023876
229,0024625
230,0023932
231,0024679
232,0024727
233,0024432
234,0024069
235,0024034
236,0024216
237,0024481
238,0024008
239,0025424
240,0025822
241,0025746
242,0025617
243,0025091
244,0025452
245,0024831
246,0024961
247,0025316
248,0025301
249,0025755
250,0025543
251,0025423
252,0025586
253,0025465
254,0024844
255,0025004
256,0024991
257,0026599
258,0026071
259,0026752
260,0026768
261,0026939
262,0026667
263,0026138
264,0026663
265,0026778
266,0026029
267,0027125
268,0026942
269,0027438
270,0027545
271,0028010
272,0028231
273,0028212
274,0028096
275,0029207
